"","variable","value","p","Outcome"
"62","ANX",0.000652905295243943,0.365646857230403,"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusR"
"63","ANX",5.61061033766551e-05,0.948403802852229,"BRIA.BRIA.v_intra_SuperiorfrontooccipitalfasciculusL"
"64","ANX",-6.81305218075736e-05,0.940872965573365,"BRIA.BRIA.v_intra_UncinatefasciculusR"
"65","ANX",0.000248801863554059,0.815627317355296,"BRIA.BRIA.v_intra_UncinatefasciculusL"
"66","ANX",-0.000629251240000886,0.585860676189957,"BRIA.BRIA.v_intra_TapetumR"
"67","ANX",-0.000708188645782859,0.520121225941672,"BRIA.BRIA.v_intra_TapetumL"
"68","ANX",0.000378127820032428,0.595841737181899,"BRIA.BRIA.v_intra_Mean"
"69","ANX",3.21799933574585e-05,0.964711485077254,"BRIA.BRIA.v_intra_SD"
"70","ANX",0.00214671459576326,0.32107534853801,"eid"
"71","ANX",0.000520008819819717,0.524412098480464,"BRIA.BRIA.v_intra_CINGL"
"72","ANX",0.000324091230446402,0.677057407813593,"BRIA.BRIA.v_intra_CINGR"
"73","ANX",-0.000541857389927121,0.159379859469933,"BRIA.BRIA.v_extra_ATRL"
"74","ANX",-0.000588197636974028,0.137631604382055,"BRIA.BRIA.v_extra_ATRR"
"75","ANX",0.000225661608747665,0.660093971187162,"BRIA.BRIA.v_extra_CSTL"
"76","ANX",-0.000125940285865586,0.79794008230588,"BRIA.BRIA.v_extra_CSTR"
"77","ANX",-0.00054003679137093,0.3558220722409,"BRIA.BRIA.v_extra_CGL"
"78","ANX",-0.000199392308980028,0.751276210065838,"BRIA.BRIA.v_extra_CGR"
"79","ANX",0.000451456111700205,0.393575132444748,"BRIA.BRIA.v_extra_FMAJ"
"80","ANX",-0.000514458472051155,0.404558892253538,"BRIA.BRIA.v_extra_FMIN"
"81","ANX",-5.59665909750427e-05,0.914232694145383,"BRIA.BRIA.v_extra_IFOFL"
"82","ANX",-3.97428338120365e-05,0.937730074280075,"BRIA.BRIA.v_extra_IFOFR"
"83","ANX",0.00013705547301679,0.787080100975446,"BRIA.BRIA.v_extra_ILFL"
"84","ANX",0.000321083901392302,0.537689733275401,"BRIA.BRIA.v_extra_ILFR"
"85","ANX",-7.0053483875179e-05,0.901058411164818,"BRIA.BRIA.v_extra_SLFL"
"86","ANX",0.000182939006154883,0.721234742860191,"BRIA.BRIA.v_extra_SLFR"
"87","ANX",-0.000159282792918998,0.781563106820132,"BRIA.BRIA.v_extra_UFL"
"88","ANX",-0.00025591507579106,0.630748388426412,"BRIA.BRIA.v_extra_UFR"
"89","ANX",0.000342145258960499,0.62250312313582,"BRIA.BRIA.v_extra_SLFTL"
"90","ANX",0.000583197858338138,0.382384514933956,"BRIA.BRIA.v_extra_SLTFR"
"91","ANX",0.000482629550549664,0.533680377027587,"BRIA.BRIA.v_extra_Middlecerebellarpeduncle"
"92","ANX",0.000956160211261544,0.393712114671238,"BRIA.BRIA.v_extra_Pontine"
"93","ANX",-0.00061337773393417,0.414436499784394,"BRIA.BRIA.v_extra_GenuCC"
"94","ANX",-0.000816197986367642,0.242123474841021,"BRIA.BRIA.v_extra_BodyCC"
"95","ANX",0.00104342124309943,0.2016202263141,"BRIA.BRIA.v_extra_SpleniumCC"
"96","ANX",-0.00133547419979015,0.718312016132697,"BRIA.BRIA.v_extra_Fornix"
"97","ANX",-0.00095299418473329,0.461215948829355,"BRIA.BRIA.v_extra_CorticospinaltractR"
"98","ANX",0.000621518321756908,0.672178505279527,"BRIA.BRIA.v_extra_CorticospinaltractL"
"99","ANX",0.0012366187349831,0.0954896036429336,"BRIA.BRIA.v_extra_MediallemniscusR"
"100","ANX",0.000567775609588002,0.456431685895913,"BRIA.BRIA.v_extra_MediallemniscusL"
"101","ANX",0.000350401154250233,0.603282486777257,"BRIA.BRIA.v_extra_InferiorcerebellarpeduncleR"
"102","ANX",0.00017733139944156,0.798216195071569,"BRIA.BRIA.v_extra_InferiorcerebellarpeduncleL"
"103","ANX",0.000551128432938417,0.544112643204469,"BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleR"
"104","ANX",0.000830012706257762,0.300608560959592,"BRIA.BRIA.v_extra_SuperiorcerebellarpeduncleL"
"105","ANX",-9.91928232280121e-05,0.915969898761711,"BRIA.BRIA.v_extra_CerebralpeduncleR"
"106","ANX",0.000514787689014858,0.637232394112996,"BRIA.BRIA.v_extra_CerebralpeduncleL"
