"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1598","smt_mc_diff_CerebralpeduncleL",0.492080859852347,0.0300387004610569,8.72932993119111e-58,1.60270497536669e-54,"BRIA"
"1599","smt_mc_diff_AnteriorlimbofinternalcapsuleR",0.193882774807664,0.031923276629542,1.41337514054766e-09,2.59495675804551e-06,"BRIA"
"1600","smt_mc_diff_AnteriorlimbofinternalcapsuleL",0.0216247198712015,0.03210758898759,0.500677103289213,1,"BRIA"
"1601","smt_mc_diff_.PosteriorlimbofinternalcapsuleR",-0.172410976152881,0.0287204084502104,2.17338603358251e-09,3.9903367576575e-06,"BRIA"
"1602","smt_mc_diff_PosteriorlimbofinternalcapsuleL",0.0843653274928853,0.0309711032383671,0.00648779505076292,1,"BRIA"
"1603","smt_mc_diff_RetrolenticularpartofinternalcapsuleR",-0.267474417935091,0.0306159795472639,3.96701792914474e-18,7.28344491790974e-15,"DKI"
"1604","smt_mc_diff_RetrolenticularpartofinternalcapsuleL",0.229787315344943,0.0322818021614169,1.36883395120365e-12,2.51317913440991e-09,"DKI"
"1605","smt_mc_diff_AnteriorcoronaradiataR",0.155301951520431,0.0325200647746544,1.87979993174663e-06,0.00345131267468681,"DKI"
"1606","smt_mc_diff_AnteriorcoronaradiataL",0.118258130772303,0.0333107001206178,0.000391046151884273,0.717960734859525,"DTI"
"1607","smt_mc_diff_SuperiorcoronaradiataR",-0.394865000790402,0.0310701842894398,4.61984908696601e-36,8.4820429236696e-33,"DTI"
"1608","smt_mc_diff_SuperiorcoronaradiataL",-0.337496037558716,0.0320496141767515,1.76795749882633e-25,3.24596996784513e-22,"DTI"
"1609","smt_mc_diff_PosteriorcoronaradiataR",-0.150123001953533,0.0325861760777513,4.26005553293442e-06,0.0078214619584676,"DTI"
"1610","smt_mc_diff_PosteriorcoronaradiataL",-0.14357783545331,0.0336420504530776,2.03645824148317e-05,0.037389373313631,"SMT"
"1611","smt_mc_diff_PosteriorthalamicradiationR",-0.0914659066906561,0.0322830180157863,0.00463913218271302,1,"SMT"
"1612","smt_mc_diff_PosteriorthalamicradiationL",0.104013814891858,0.0330582911930782,0.00166961967381317,1,"SMT"
"1613","smt_mc_diff_SagittalstratumR",-0.0804424107458123,0.0324753266366587,0.0133038851782292,1,"SMT"
"1614","smt_mc_diff_SagittalstratumL",0.13360482301587,0.0328910647125441,4.99183557132781e-05,0.0916501010895786,"SMTmc"
"1615","smt_mc_diff_ExternalcapsuleR",0.0673780527176224,0.0329677120407935,0.0410663816234954,1,"SMTmc"
"1616","smt_mc_diff_ExternalcapsuleL",0.0872045710351194,0.0334887484540168,0.00926078680405811,1,"SMTmc"
"1617","smt_mc_diff_CingulumcingulategyrusR",0.250791358984898,0.0323259903080932,1.17946458170359e-14,2.1654969720078e-11,"SMTmc"
"1618","smt_mc_diff_CingulumcingulategyrusL",0.259345601283212,0.0325164711896505,2.14803286991927e-15,3.94378834917177e-12,"WMTI"
"1619","smt_mc_diff_CingulumhippocampusR",0.0103479090604362,0.0314059880315785,0.741810033992999,1,"WMTI"
"1620","smt_mc_diff_CingulumhippocampusL",0.107613575647828,0.0308526992709602,0.000493828777670145,0.906669635802386,"WMTI"
"1621","smt_mc_diff_Fornix_StriaterminalisR",-0.0759357226985072,0.0303244333406037,0.0123297740363823,1,"BRIA"
"1622","smt_mc_diff_Fornix_StriaterminalisL",0.168396705549609,0.0308646876252608,5.27564021300517e-08,9.68607543107749e-05,"BRIA"
"1623","smt_mc_diff_SuperiorlongitudinalfasciculusR",-0.111786105126053,0.0315648524577527,0.000404084247933656,0.741898679206192,"BRIA"
"1624","smt_mc_diff_SuperiorlongitudinalfasciculusL",-0.0668965004085436,0.0336364868412048,0.046815005450984,1,"BRIA"
"1625","smt_mc_diff_SuperiorfrontooccipitalfasciculusR",0.0355314284239072,0.0301709454356432,0.239023416001256,1,"BRIA"
"1626","smt_mc_diff_SuperiorfrontooccipitalfasciculusL",0.0596278400333456,0.0307769458422007,0.052789856165116,1,"BRIA"
"1627","smt_mc_diff_UncinatefasciculusR",0.0335172255831836,0.0325503436490588,0.30323359159276,1,"BRIA"
"1628","smt_mc_diff_UncinatefasciculusL",-0.121060865810517,0.0322588552675485,0.000178255404040117,0.327276921817655,"BRIA"
"1629","smt_mc_diff_TapetumR",-0.382136794431275,0.0327899170766042,1.02564941633971e-30,1.88309232839971e-27,"BRIA"
"1630","smt_mc_diff_TapetumL",-0.330342257774892,0.0322751224496902,3.49413459273827e-24,6.41523111226747e-21,"DKI"
"1631","smt_mc_diff_CINGL",0.217894093357768,0.0319034879271626,1.02935297297047e-11,1.88989205837378e-08,"DKI"
"1632","smt_mc_diff_CINGR",0.0893482821732707,0.0326950344441914,0.00631784895525135,1,"DKI"
"1633","axEAD_ATRL",0.443209091509869,0.0302716764032251,6.63600446418597e-47,1.21837041962454e-43,"DTI"
"1634","axEAD_ATRR",0.546692518473262,0.0282481083871662,1.22879792416672e-78,2.2560729887701e-75,"DTI"
"1635","axEAD_CSTL",0.332110029857804,0.030211037097492,1.41224905048692e-27,2.59288925669399e-24,"DTI"
"1636","axEAD_CSTR",0.137830148011981,0.0303392081063125,5.77022636787123e-06,0.0105941356114116,"DTI"
"1637","axEAD_CGL",0.151836878274766,0.0333966372100574,5.67575313844358e-06,0.0104206827621824,"SMT"
"1638","axEAD_CGR",0.202878620300311,0.0321248380377437,3.10379406428835e-10,5.6985659020334e-07,"SMT"
"1639","axEAD_FMAJ",0.051904893834727,0.0325995149750437,0.111447743339842,1,"SMT"
"1640","axEAD_FMIN",0.344046243550909,0.0321513763112757,3.05254933703776e-26,5.60448058280132e-23,"SMT"
"1641","axEAD_IFOFL",0.102481813276549,0.0334763277957279,0.00222355732310637,1,"SMTmc"
"1642","axEAD_IFOFR",0.0210396994728323,0.0322087212517053,0.513659190458499,1,"SMTmc"
"1643","axEAD_ILFL",0.0118467963396939,0.0278582400226781,0.670683494983076,1,"SMTmc"
"1644","axEAD_ILFR",-0.00846967291362285,0.0322116409546199,0.792616604352126,1,"SMTmc"
"1645","axEAD_SLFL",-0.0093098801497538,0.0336293671789901,0.781924123084569,1,"WMTI"
"1646","axEAD_SLFR",-0.0631816793324813,0.0320377418605918,0.0486916789674206,1,"WMTI"
"1647","axEAD_UFL",0.104719493453477,0.0333118066385175,0.00168539512305514,1,"WMTI"
"1648","axEAD_UFR",0.250947888385772,0.0324098656591746,1.32661527379439e-14,2.43566564268649e-11,"BRIA"
"1649","axEAD_SLFTL",-0.01347922184709,0.0336050918753487,0.68837087869249,1,"BRIA"
"1650","axEAD_SLTFR",-0.242090841039399,0.0323637771713442,9.73805490788616e-14,1.7879068810879e-10,"BRIA"
"1651","axEAD_Middlecerebellarpeduncle",0.147333450551726,0.0281170637892697,1.71927023301167e-07,0.000315658014780943,"BRIA"
"1652","axEAD_Pontine",-0.146181044885418,0.0319384734324241,4.91348658762917e-06,0.00902116137488715,"BRIA"
"1653","axEAD_GenuCC",0.422263823911266,0.0319360865804821,8.21327422244998e-39,1.50795714724182e-35,"BRIA"
"1654","axEAD_BodyCC",0.214531850070442,0.0322225046889568,3.30368654758456e-11,6.06556850136525e-08,"BRIA"
"1655","axEAD_SpleniumCC",0.297741706631719,0.0333101010737243,6.81705752607173e-19,1.25161176178677e-15,"BRIA"
"1656","axEAD_Fornix",0.366135096731173,0.0277856544564422,1.4417692242334e-38,2.64708829569252e-35,"BRIA"
"1657","axEAD_CorticospinaltractR",0.251232537762696,0.0310793506148326,9.09328226261961e-16,1.66952662341696e-12,"DKI"
"1658","axEAD_CorticospinaltractL",0.25159410857681,0.0304473747632872,2.1189045552924e-16,3.89030876351685e-13,"DKI"
"1659","axEAD_MediallemniscusR",0.2400766799471,0.0326168035948783,2.36583693006524e-13,4.34367660359978e-10,"DKI"
"1660","axEAD_MediallemniscusL",0.23362025590877,0.0329230378726824,1.60350204061086e-12,2.94402974656154e-09,"DTI"
"1661","axEAD_InferiorcerebellarpeduncleR",-0.0678458547755548,0.032375320492992,0.0362026858836385,1,"DTI"
"1662","axEAD_InferiorcerebellarpeduncleL",0.0922465462302227,0.0321815487070493,0.00418067077105416,1,"DTI"
"1663","axEAD_SuperiorcerebellarpeduncleR",0.283761169254201,0.032677516262568,6.24315057224337e-18,1.14624244506388e-14,"DTI"
"1664","axEAD_SuperiorcerebellarpeduncleL",0.371330006819458,0.0320754118645386,2.43543278728671e-30,4.47145459745839e-27,"SMT"
"1665","axEAD_CerebralpeduncleR",0.532332217962193,0.0295138875319782,4.66309079041568e-69,8.56143469120319e-66,"SMT"
"1666","axEAD_CerebralpeduncleL",0.588448342709512,0.0303956360256041,1.10334640496923e-78,2.02574399952351e-75,"SMT"
"1667","axEAD_AnteriorlimbofinternalcapsuleR",0.431301056594095,0.0324805638049676,4.03064096590804e-39,7.40025681340717e-36,"SMT"
"1668","axEAD_AnteriorlimbofinternalcapsuleL",0.159473980470127,0.0331289103469267,1.55619192406594e-06,0.00285716837258506,"SMTmc"
"1669","axEAD_.PosteriorlimbofinternalcapsuleR",0.151806022557741,0.0328180793653689,3.89509788630132e-06,0.00715139971924923,"SMTmc"
"1670","axEAD_PosteriorlimbofinternalcapsuleL",0.298555051043655,0.0330860421200031,3.21123783134142e-19,5.89583265834285e-16,"SMTmc"
"1671","axEAD_RetrolenticularpartofinternalcapsuleR",-0.0813696103496591,0.0317719523796328,0.0104851062429382,1,"SMTmc"
"1672","axEAD_RetrolenticularpartofinternalcapsuleL",0.173366922523527,0.0333282730688561,2.10932030027167e-07,0.000387271207129878,"WMTI"
