"","variable","value","p","Outcome"
"1","ANX",-0.00129657931501078,0.228868584946912,"v_intra_ATRL"
"2","ANX",-0.00200044636643368,0.0451809274333513,"v_intra_ATRR"
"3","ANX",-0.000657621953791918,0.406098990443344,"v_intra_CSTL"
"4","ANX",-0.000833015856961504,0.288699824374788,"v_intra_CSTR"
"5","ANX",-0.00160076301068214,0.243738093663897,"v_intra_CGL"
"6","ANX",-0.00138211864112745,0.294375300579601,"v_intra_CGR"
"7","ANX",-0.00090255639237246,0.462955522543591,"v_intra_FMAJ"
"8","ANX",-0.0020851878762315,0.190657133711886,"v_intra_FMIN"
"9","ANX",-0.00175448550497356,0.203797051003194,"v_intra_IFOFL"
"10","ANX",-0.00190348284814065,0.158822885575718,"v_intra_IFOFR"
"11","ANX",-0.00190338477110166,0.194533783185303,"v_intra_ILFL"
"12","ANX",-0.00218998750358909,0.131343276912465,"v_intra_ILFR"
"13","ANX",-0.00145397959947736,0.243262783133805,"v_intra_SLFL"
"14","ANX",-0.00176025024900323,0.144057357786403,"v_intra_SLFR"
"15","ANX",-0.00169145198865574,0.297562033149309,"v_intra_UFL"
"16","ANX",-0.00249523876479282,0.133328166397007,"v_intra_UFR"
"17","ANX",-0.00226127433557392,0.131804780438896,"v_intra_SLFTL"
"18","ANX",-0.00142528779998549,0.346227620829856,"v_intra_SLTFR"
"19","ANX",-0.000272258189463685,0.756121341075961,"v_intra_Middlecerebellarpeduncle"
"20","ANX",0.000287887022169859,0.848882041880429,"v_intra_Pontine"
"21","ANX",-0.00239065813132433,0.166938185871038,"v_intra_GenuCC"
"22","ANX",-0.00315518829508773,0.0326720156200461,"v_intra_BodyCC"
"23","ANX",-0.00176619932016436,0.151621292443055,"v_intra_SpleniumCC"
"24","ANX",-0.00498022409215114,0.18648452397258,"v_intra_Fornix"
"25","ANX",0.00205494833714519,0.253390057202239,"v_intra_CorticospinaltractR"
"26","ANX",-0.000307257135589061,0.871648445888266,"v_intra_CorticospinaltractL"
"27","ANX",-0.000302023381492251,0.799154603932081,"v_intra_MediallemniscusR"
"28","ANX",-0.000649275034645141,0.598910034164116,"v_intra_MediallemniscusL"
"29","ANX",-0.000565301540604509,0.597890375296167,"v_intra_InferiorcerebellarpeduncleR"
"30","ANX",-0.00139515661690469,0.196086141378121,"v_intra_InferiorcerebellarpeduncleL"
"31","ANX",-0.00229553708730604,0.0307371036184801,"v_intra_SuperiorcerebellarpeduncleR"
"32","ANX",-0.00140859841809397,0.154381250191845,"v_intra_SuperiorcerebellarpeduncleL"
"33","ANX",-0.00189274513801686,0.042000596391183,"v_intra_CerebralpeduncleR"
"34","ANX",-0.00128771654096281,0.149725029885626,"v_intra_CerebralpeduncleL"
"35","ANX",-0.00168365259920683,0.126327031339429,"v_intra_AnteriorlimbofinternalcapsuleR"
"36","ANX",-0.00118622989319575,0.322761166112396,"v_intra_AnteriorlimbofinternalcapsuleL"
"37","ANX",-0.000915776189030972,0.209120358742414,"v_intra_.PosteriorlimbofinternalcapsuleR"
"38","ANX",-0.000884894255010558,0.239266442159438,"v_intra_PosteriorlimbofinternalcapsuleL"
"39","ANX",-0.00266773358983178,0.042658955138483,"v_intra_RetrolenticularpartofinternalcapsuleR"
"40","ANX",-0.00101808422677393,0.427889377695407,"v_intra_RetrolenticularpartofinternalcapsuleL"
"41","ANX",-0.00324077054111084,0.0473153631002726,"v_intra_AnteriorcoronaradiataR"
"42","ANX",-0.00305269275412358,0.0782023802465584,"v_intra_AnteriorcoronaradiataL"
"43","ANX",-0.00190641896995103,0.0883833124531033,"v_intra_SuperiorcoronaradiataR"
"44","ANX",-0.00184897546090247,0.119184558812132,"v_intra_SuperiorcoronaradiataL"
"45","ANX",-0.00207343772046863,0.263635620002571,"v_intra_PosteriorcoronaradiataR"
"46","ANX",-0.00214934696327828,0.231890275398729,"v_intra_PosteriorcoronaradiataL"
"47","ANX",-0.00141416001420017,0.382871231448199,"v_intra_PosteriorthalamicradiationR"
"48","ANX",-0.00244821428450581,0.148579503479099,"v_intra_PosteriorthalamicradiationL"
"49","ANX",-0.00210529148936914,0.227841306184404,"v_intra_SagittalstratumR"
"50","ANX",-0.00230279820425676,0.185773837343234,"v_intra_SagittalstratumL"
"51","ANX",-0.0029560306441243,0.0414623356311933,"v_intra_ExternalcapsuleR"
"52","ANX",-0.00187985782351464,0.26751059183901,"v_intra_ExternalcapsuleL"
"53","ANX",-0.00169028794659521,0.218086123883223,"v_intra_CingulumcingulategyrusR"
"54","ANX",-0.00160638987573553,0.261562243925326,"v_intra_CingulumcingulategyrusL"
"55","ANX",-0.00260850091456756,0.36344687683773,"v_intra_CingulumhippocampusR"
"56","ANX",0.000318353401465656,0.924191530288709,"v_intra_CingulumhippocampusL"
"57","ANX",-0.00237262179711886,0.076318318717277,"v_intra_Fornix_StriaterminalisR"
"58","ANX",-0.00127433611476014,0.378259580124134,"v_intra_Fornix_StriaterminalisL"
"59","ANX",-0.00113662975574796,0.359154837310542,"v_intra_SuperiorlongitudinalfasciculusR"
"60","ANX",-0.00110883075577746,0.364560459327477,"v_intra_SuperiorlongitudinalfasciculusL"
"61","ANX",-0.00146998811035152,0.184616570536336,"v_intra_SuperiorfrontooccipitalfasciculusR"
"62","ANX",-0.000979834186739044,0.620833677559565,"v_intra_SuperiorfrontooccipitalfasciculusL"
"63","ANX",-0.0021414915011163,0.362903895502502,"v_intra_UncinatefasciculusR"
"64","ANX",0.00337865844155644,0.285566940802327,"v_intra_UncinatefasciculusL"
"65","ANX",-0.00438941881715997,0.180428801649147,"v_intra_TapetumR"
"66","ANX",-0.00315271687341997,0.304425298321806,"v_intra_TapetumL"
"67","ANX",-0.00157072651596973,0.16005764251202,"v_intra_Mean"
"68","ANX",-0.000899803534128541,0.632479777745824,"v_intra_CINGL"
"69","ANX",-0.00226921251253049,0.161720823698188,"v_intra_CINGR"
"70","ANX",0.00118250322611365,0.345381052097325,"v_extra_ATRL"
"71","ANX",0.00226795475120941,0.0588117417924062,"v_extra_ATRR"
"72","ANX",0.00114297591529935,0.459416076443683,"v_extra_CSTL"
"73","ANX",0.00199669437925697,0.165145980293289,"v_extra_CSTR"
"74","ANX",0.00195669234641086,0.204831666583337,"v_extra_CGL"
"75","ANX",0.00196504672605035,0.200521572970046,"v_extra_CGR"
"76","ANX",0.000975566837644078,0.50319069729251,"v_extra_FMAJ"
"77","ANX",0.00174209460070174,0.292767433569992,"v_extra_FMIN"
"78","ANX",0.00158266637287598,0.224799320881455,"v_extra_IFOFL"
"79","ANX",0.0020495509366106,0.110337785896151,"v_extra_IFOFR"
"80","ANX",0.00158713586238926,0.204033388866842,"v_extra_ILFL"
"81","ANX",0.00217973862558354,0.0818655599264111,"v_extra_ILFR"
"82","ANX",0.00190024795656036,0.198741579740297,"v_extra_SLFL"
"83","ANX",0.0026081815318771,0.0682220290305846,"v_extra_SLFR"
"84","ANX",0.00108063713406948,0.380745636387647,"v_extra_UFL"
"85","ANX",0.00202199962660864,0.086659843466774,"v_extra_UFR"
"86","ANX",0.0020951076801404,0.147489961035612,"v_extra_SLFTL"
"87","ANX",0.00199372763140617,0.249770973701818,"v_extra_SLTFR"
"88","ANX",-0.000199067292653687,0.933277658974327,"v_extra_Middlecerebellarpeduncle"
"89","ANX",0.00434817288003051,0.106394353917269,"v_extra_Pontine"
"90","ANX",0.00237991122875257,0.30541587287437,"v_extra_GenuCC"
"91","ANX",0.0033284756407875,0.136804383593261,"v_extra_BodyCC"
"92","ANX",0.00297013113121597,0.229429258335478,"v_extra_SpleniumCC"
"93","ANX",-0.00655385182054744,0.311580391007533,"v_extra_Fornix"
"94","ANX",0.000416260371232513,0.910744395405948,"v_extra_CorticospinaltractR"
"95","ANX",0.00418633609142735,0.304588198405771,"v_extra_CorticospinaltractL"
"96","ANX",0.0012677842893134,0.517035388125469,"v_extra_MediallemniscusR"
