"","Outcome","Std.Beta","Std.Err","p","p.adj","Model"
"1644","awf_ILFR",1.45224215844086e-05,0.00502532376041503,0.997694454064644,1,"BRIA"
"1645","awf_SLFL",1.53952144840266e-05,0.00343382752227613,0.996423112362023,1,"BRIA"
"1646","awf_SLFR",1.77389785288228e-05,0.00342682260149732,0.995870147513731,1,"BRIA"
"1647","awf_UFL",1.35512899772297e-05,0.00583919546327972,0.99814848714107,1,"BRIA"
"1648","awf_UFR",1.08403312336113e-05,0.00657009025608994,0.998683652751527,1,"DKI"
"1649","awf_SLFTL",7.76142171018724e-06,0.00726119120687923,0.999147228242234,1,"DKI"
"1650","awf_SLTFR",1.51361024708213e-05,0.00580286860685934,0.997919008378706,1,"DKI"
"1651","awf_Middlecerebellarpeduncle",1.34840494444662e-05,0.00817944054004236,0.998684787157133,1,"DTI"
"1652","awf_Pontine",-1.7958492639965e-06,0.00919110215523994,0.999844115912118,1,"DTI"
"1653","awf_GenuCC",1.13278907855873e-05,0.0048444421398837,0.998134460882096,1,"DTI"
"1654","awf_BodyCC",1.05577451108918e-05,0.00331837972656163,0.997461694940416,1,"DTI"
"1655","awf_SpleniumCC",1.2059210862046e-05,0.00610292893153927,0.998423551485708,1,"SMT"
"1656","awf_Fornix",4.90558291746327e-06,0.00348653100815001,0.998877473962252,1,"SMT"
"1657","awf_CorticospinaltractR",1.96146143025497e-06,0.00823009282301907,0.999809859544704,1,"SMT"
"1658","awf_CorticospinaltractL",2.82788448909231e-06,0.00804767125199316,0.999719656224409,1,"SMT"
"1659","awf_MediallemniscusR",7.26715181457916e-06,0.0112500926803727,0.999484643681389,1,"SMTmc"
"1660","awf_MediallemniscusL",6.54018496538911e-06,0.0107484869574847,0.999514552608702,1,"SMTmc"
"1661","awf_InferiorcerebellarpeduncleR",1.31132563609432e-05,0.0117641667271517,0.999110698985521,1,"SMTmc"
"1662","awf_InferiorcerebellarpeduncleL",1.16813083117344e-05,0.0113411390751806,0.999178260362894,1,"SMTmc"
"1663","awf_SuperiorcerebellarpeduncleR",-2.31317660057265e-06,0.00836941938544085,0.999779497784332,1,"WMTI"
"1664","awf_SuperiorcerebellarpeduncleL",3.35935568567343e-06,0.00928111440437514,0.999711227817366,1,"WMTI"
"1665","awf_CerebralpeduncleR",1.05614572954941e-05,0.0118256244791538,0.999287476484386,1,"BRIA"
"1666","awf_CerebralpeduncleL",1.54403443553066e-05,0.011601504860636,0.998938201690857,1,"BRIA"
"1667","awf_AnteriorlimbofinternalcapsuleR",1.43819465345218e-05,0.00826198142909668,0.998611222398757,1,"BRIA"
"1668","awf_AnteriorlimbofinternalcapsuleL",1.3814246831958e-05,0.0088010578768807,0.998747748229017,1,"BRIA"
"1669","awf_.PosteriorlimbofinternalcapsuleR",2.09288370992707e-05,0.0101185808485655,0.998349845249583,1,"BRIA"
"1670","awf_PosteriorlimbofinternalcapsuleL",2.53457482413171e-05,0.0100477930067361,0.997987511169298,1,"BRIA"
"1671","awf_RetrolenticularpartofinternalcapsuleR",1.72199099597223e-05,0.00841191740080035,0.998366816162268,1,"BRIA"
"1672","awf_RetrolenticularpartofinternalcapsuleL",1.09465688464115e-05,0.00843692713292587,0.998964874292112,1,"BRIA"
"1673","awf_AnteriorcoronaradiataR",9.66408439978718e-06,0.00424855414831284,0.998185242969038,1,"BRIA"
"1674","awf_AnteriorcoronaradiataL",8.16410608363679e-06,0.00430059355251457,0.998485464491497,1,"DKI"
"1675","awf_SuperiorcoronaradiataR",1.32495151603238e-05,0.00538692337450327,0.998037732326514,1,"DKI"
"1676","awf_SuperiorcoronaradiataL",8.79679456818094e-06,0.00501103538174088,0.998599457639288,1,"DKI"
"1677","awf_PosteriorcoronaradiataR",1.20413819597408e-05,0.00418416658238214,0.997704029707358,1,"DTI"
"1678","awf_PosteriorcoronaradiataL",1.01335393405226e-05,0.00391928191215767,0.997937216427531,1,"DTI"
"1679","awf_PosteriorthalamicradiationR",1.08257157089543e-05,0.00435891554464016,0.998018577256476,1,"DTI"
"1680","awf_PosteriorthalamicradiationL",1.05750431131455e-05,0.00403273385344546,0.997907904355604,1,"DTI"
"1681","awf_SagittalstratumR",1.45628653367371e-05,0.00661484347835676,0.998243587966791,1,"SMT"
"1682","awf_SagittalstratumL",1.39105179353283e-05,0.00813788170147641,0.998636261138596,1,"SMT"
"1683","awf_ExternalcapsuleR",1.30917436606133e-05,0.00840800781547543,0.998757765279678,1,"SMT"
"1684","awf_ExternalcapsuleL",9.57759029971673e-06,0.00741414079795977,0.998969388920257,1,"SMT"
"1685","awf_CingulumcingulategyrusR",9.08311477061695e-06,0.00667760305176494,0.998914790629684,1,"SMTmc"
"1686","awf_CingulumcingulategyrusL",7.10566780325575e-06,0.00568124204384426,0.999002159850266,1,"SMTmc"
"1687","awf_CingulumhippocampusR",1.72116749526674e-05,0.0102940194756594,0.998666056455678,1,"SMTmc"
"1688","awf_CingulumhippocampusL",1.82531299801908e-05,0.0112101788578779,0.998700955245615,1,"SMTmc"
"1689","awf_Fornix_StriaterminalisR",1.23552523058012e-05,0.011318781556667,0.999129133990674,1,"WMTI"
"1690","awf_Fornix_StriaterminalisL",1.24830137038882e-05,0.0109577515159753,0.999091139135101,1,"WMTI"
"1691","awf_SuperiorlongitudinalfasciculusR",1.80335051275582e-05,0.0044453172086163,0.996763499482185,1,"BRIA"
"1692","awf_SuperiorlongitudinalfasciculusL",1.99784363777254e-05,0.0046319609512811,0.996558920685203,1,"BRIA"
"1693","awf_SuperiorfrontooccipitalfasciculusR",1.67842166712803e-05,0.011252384802329,0.99880997568878,1,"BRIA"
"1694","awf_SuperiorfrontooccipitalfasciculusL",1.13539382343022e-05,0.0105161481672904,0.99913863098139,1,"BRIA"
"1695","awf_UncinatefasciculusR",1.06405835092837e-05,0.0111909084732108,0.999241423235019,1,"BRIA"
"1696","awf_UncinatefasciculusL",9.72215162475705e-06,0.0113903292761453,0.999319033791626,1,"BRIA"
"1697","awf_TapetumR",6.89823194636968e-06,0.00522712836345514,0.998947131829383,1,"BRIA"
"1698","awf_TapetumL",9.64101179295743e-07,0.00637389718475291,0.999879325072075,1,"BRIA"
"1699","awf_CINGL",1.55767981091379e-05,0.00793357674364239,0.998433579397306,1,"BRIA"
"1700","awf_CINGR",1.89662410339659e-05,0.0063347986163562,0.997611378690965,1,"DKI"
"1701","radEAD_ATRL",-2.37932455133115e-06,0.00869899555066434,0.99978178527147,1,"DKI"
"1702","radEAD_ATRR",-2.43077471606084e-06,0.00991767196988495,0.999804460514809,1,"DKI"
"1703","radEAD_CSTL",-4.76168319605287e-06,0.0108951839956321,0.999651321307797,1,"DTI"
"1704","radEAD_CSTR",-6.35845432281201e-06,0.0119054014589203,0.9995739044556,1,"DTI"
"1705","radEAD_CGL",-1.12250493562813e-05,0.00840903605137994,0.998935020086328,1,"DTI"
"1706","radEAD_CGR",-1.38197973598031e-05,0.0100720210797679,0.998905327020854,1,"DTI"
"1707","radEAD_FMAJ",-8.30605165359468e-06,0.00831267733721161,0.99920282599137,1,"SMT"
"1708","radEAD_FMIN",3.49385108426121e-06,0.00801305301827556,0.999652138925726,1,"SMT"
"1709","radEAD_IFOFL",5.40863029714995e-06,0.00739679006895563,0.999416630843478,1,"SMT"
"1710","radEAD_IFOFR",-2.7993340868487e-06,0.00768620895127753,0.999709435856626,1,"SMT"
"1711","radEAD_ILFL",2.73656725355452e-06,0.00803877506168007,0.999728408793471,1,"SMTmc"
"1712","radEAD_ILFR",3.11927181850498e-06,0.00930444404724759,0.999732537876987,1,"SMTmc"
"1713","radEAD_SLFL",-6.9899780052222e-06,0.0067188772432046,0.999169999205882,1,"SMTmc"
"1714","radEAD_SLFR",-1.02462369405908e-05,0.0070112637512867,0.998834083627721,1,"SMTmc"
"1715","radEAD_UFL",8.24970715959103e-06,0.00933298857894966,0.999294791986451,1,"WMTI"
"1716","radEAD_UFR",1.44952139288571e-05,0.0109956609526488,0.998948273867251,1,"WMTI"
"1717","radEAD_SLFTL",-6.90553729113515e-06,0.00912027949625057,0.999395927923224,1,"BRIA"
"1718","radEAD_SLTFR",-1.13188118454139e-05,0.00996102512788332,0.999093440712262,1,"BRIA"
"1719","radEAD_Middlecerebellarpeduncle",5.27878246043692e-06,0.0145855370166197,0.999711257422088,1,"BRIA"
"1720","radEAD_Pontine",2.64082156926757e-06,0.0101612352228852,0.99979265572393,1,"BRIA"
"1721","radEAD_GenuCC",3.60441971208702e-06,0.00568908413849573,0.999494533403285,1,"BRIA"
"1722","radEAD_BodyCC",-7.6145787405045e-06,0.00574687209671784,0.998942905744354,1,"BRIA"
